DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,GRADE,AMERICAN INDIAN OR ALASKAN NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK (NOT HISPANIC),HISPANIC,WHITE (NOT HISPANIC),TOTAL,TOTAL Minority,% Minority
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,7TH,2,3,2,57,33,97,64,66%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,8TH,3,2,2,52,48,107,59,55%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,9TH,1,6,5,58,38,108,70,65%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10TH,1,2,5,53,38,99,61,62%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,11TH,2,2,1,42,29,76,47,62%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,12TH,1,2,1,17,13,34,21,62%
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,SCHOOL TOTAL,10,17,16,279,199,521,322,62%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,9TH,3,0,2,32,16,53,37,70%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,10TH,1,1,0,16,22,40,18,45%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,11TH,2,2,1,16,14,35,21,60%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,12TH,1,1,1,11,6,20,14,70%
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,SCHOOL TOTAL,7,4,4,75,58,148,90,61%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,9TH,0,0,0,45,17,62,45,73%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,10TH,0,1,0,47,18,66,48,73%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,11TH,1,2,0,30,3,36,33,92%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,12TH,2,3,1,28,16,50,34,68%
0010,MAPLETON 1,0221,WELBY NEW TECHNOLOGY,SCHOOL TOTAL,3,6,1,150,54,214,160,75%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,KINDERGARTEN,0,0,2,15,11,28,17,61%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,1ST,0,1,0,20,8,29,21,72%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,2ND,1,1,2,23,1,28,27,96%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,3RD,1,0,0,21,7,29,22,76%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,4TH,0,0,1,24,4,29,25,86%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,5TH,0,1,0,21,9,31,22,71%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,6TH,0,0,0,22,6,28,22,79%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,7TH,0,1,0,42,4,47,43,91%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,8TH,1,1,1,37,4,44,40,91%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,9TH,0,0,0,34,11,45,34,76%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,10TH,0,1,0,25,5,31,26,84%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,11TH,0,0,0,26,1,27,26,96%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,12TH,1,0,0,15,3,19,16,84%
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,SCHOOL TOTAL,4,6,6,325,74,415,341,82%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,9TH,0,1,4,51,22,78,56,72%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,10TH,2,3,2,40,17,64,47,73%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,11TH,0,5,1,42,22,70,48,69%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,12TH,0,4,3,34,10,51,41,80%
0010,MAPLETON 1,0309,SKYVIEW ACADEMY HIGH SCHOOL,SCHOOL TOTAL,2,13,10,167,71,263,192,73%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,KINDERGARTEN,0,0,0,38,10,48,38,79%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,1ST,0,1,1,31,9,42,33,79%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,2ND,0,0,0,38,5,43,38,88%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,3RD,0,1,2,34,6,43,37,86%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,4TH,1,1,0,37,7,46,39,85%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,5TH,0,0,0,39,13,52,39,75%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,6TH,1,0,1,30,10,42,32,76%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,7TH,1,0,0,28,9,38,29,76%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,8TH,1,0,0,18,9,28,19,68%
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,SCHOOL TOTAL,4,3,4,293,78,382,304,80%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,HALF DAY K,0,4,0,32,23,59,36,61%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,1ST,0,0,0,24,25,49,24,49%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,2ND,0,1,0,36,15,52,37,71%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,3RD,0,4,0,32,14,50,36,72%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,4TH,0,1,1,28,13,43,30,70%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,5TH,0,3,0,19,11,33,22,67%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,6TH,1,3,1,30,13,48,35,73%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,7TH,0,3,0,33,8,44,36,82%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,8TH,1,4,2,24,6,37,31,84%
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,SCHOOL TOTAL,2,23,4,258,128,415,287,69%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,KINDERGARTEN,1,1,0,31,21,54,33,61%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,1ST,0,3,1,36,16,56,40,71%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,2ND,0,3,0,39,10,52,42,81%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,3RD,0,3,0,41,12,56,44,79%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,4TH,0,1,4,34,15,54,39,72%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,5TH,0,4,2,40,14,60,46,77%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,6TH,0,2,1,45,14,62,48,77%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,7TH,0,1,1,40,10,52,42,81%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,8TH,1,2,4,34,15,56,41,73%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,9TH,0,1,0,41,9,51,42,82%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,10TH,0,0,0,33,10,43,33,77%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,11TH,0,2,0,35,16,53,37,70%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,12TH,0,0,0,1,8,9,1,11%
0010,MAPLETON 1,0503,YORK INTERNATIONAL,SCHOOL TOTAL,2,23,13,450,170,658,488,74%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,PK,1,4,2,25,13,45,32,71%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,HALF DAY K,1,2,2,28,16,49,33,67%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,1ST,0,3,0,22,15,40,25,63%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,2ND,1,2,0,23,11,37,26,70%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,3RD,0,1,1,9,12,23,11,48%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,4TH,1,0,0,14,8,23,15,65%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,5TH,0,1,0,12,9,22,13,59%
0010,MAPLETON 1,0504,HIGHLAND MONTESSORI SCHOOL,SCHOOL TOTAL,4,13,5,133,84,239,155,65%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,HALF DAY K,0,0,0,15,6,21,15,71%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,KINDERGARTEN,0,0,0,21,4,25,21,84%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,1ST,0,0,0,25,26,51,25,49%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,2ND,0,0,1,37,7,45,38,84%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,3RD,0,1,1,36,15,53,38,72%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,4TH,0,3,3,26,9,41,32,78%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,5TH,2,0,1,43,12,58,46,79%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,6TH,0,1,0,39,6,46,40,87%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,7TH,1,2,0,32,11,46,35,76%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,8TH,1,1,0,40,14,56,42,75%
0010,MAPLETON 1,0505,ACHIEVE ACADEMY,SCHOOL TOTAL,4,8,6,314,110,442,332,75%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,HALF DAY K,0,0,0,10,15,25,10,40%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,KINDERGARTEN,0,0,0,10,17,27,10,37%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,1ST,0,0,1,22,25,48,23,48%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,2ND,0,1,0,19,29,49,20,41%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,3RD,0,0,1,30,20,51,31,61%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,4TH,0,0,0,18,23,41,18,44%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,5TH,1,0,0,24,27,52,25,48%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,6TH,0,0,0,25,21,46,25,54%
0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,SCHOOL TOTAL,1,1,2,158,177,339,162,48%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,HALF DAY K,0,0,0,16,4,20,16,80%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,KINDERGARTEN,0,0,1,16,8,25,17,68%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,1ST,0,0,1,27,17,45,28,62%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,2ND,0,0,0,31,11,42,31,74%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,3RD,0,0,1,34,8,43,35,81%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,4TH,0,0,1,18,6,25,19,76%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,5TH,0,0,0,35,3,38,35,92%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,6TH,0,0,0,32,9,41,32,78%
0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,SCHOOL TOTAL,0,0,4,209,66,279,213,76%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,HALF DAY K,0,0,0,7,6,13,7,54%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,KINDERGARTEN,0,1,0,21,3,25,22,88%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,1ST,0,1,0,16,18,35,17,49%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,2ND,0,0,0,28,3,31,28,90%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,3RD,0,1,0,19,8,28,20,71%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,4TH,1,0,0,19,2,22,20,91%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,5TH,0,0,0,22,1,23,22,96%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,6TH,0,0,0,23,3,26,23,88%
0010,MAPLETON 1,0508,ENRICHMENT ACADEMY,SCHOOL TOTAL,1,3,0,155,44,203,159,78%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,HALF DAY K,0,2,0,26,17,45,28,62%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,1ST,2,2,3,26,22,55,33,60%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,2ND,0,3,2,37,10,52,42,81%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,3RD,1,1,0,32,19,53,34,64%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,4TH,0,2,2,24,6,34,28,82%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,5TH,0,0,0,30,13,43,30,70%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,6TH,2,0,2,30,18,52,34,65%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,7TH,1,0,0,25,18,44,26,59%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,8TH,0,1,0,27,11,39,28,72%
0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,SCHOOL TOTAL,6,11,9,257,134,417,283,68%
0010,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,PK,2,3,1,95,228,329,101,31%
0010,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,SCHOOL TOTAL,2,3,1,95,228,329,101,31%
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,12TH,0,0,2,35,20,57,37,65%
0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,SCHOOL TOTAL,0,0,2,35,20,57,37,65%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,HALF DAY K,1,1,0,24,16,42,26,62%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,1ST,3,1,0,25,20,49,29,59%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,2ND,4,1,0,32,18,55,37,67%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,3RD,2,1,0,24,16,43,27,63%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,4TH,1,3,1,34,16,55,39,71%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,5TH,0,4,1,37,12,54,42,78%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,6TH,1,1,0,34,18,54,36,67%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,7TH,2,4,0,33,15,54,39,72%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,8TH,1,1,0,28,18,48,30,63%
0010,MAPLETON 1,9036,VALLEY VIEW K-8,SCHOOL TOTAL,15,17,2,271,149,454,305,67%
0010,MAPLETON 1,,DISTRICT TOTAL,,67,151,89,3624,1844,5775,3931,68%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,HALF DAY K,0,7,1,31,56,95,39,41%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,1ST,0,5,2,25,42,74,32,43%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,2ND,1,5,2,35,57,100,43,43%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,3RD,1,7,0,30,58,96,38,40%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,4TH,1,4,2,35,46,88,42,48%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,5TH,0,5,1,32,73,111,38,34%
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,SCHOOL TOTAL,3,33,8,188,332,564,232,41%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,HALF DAY K,0,0,0,7,19,26,7,27%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,KINDERGARTEN,0,0,0,10,42,52,10,19%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,1ST,0,7,2,21,57,87,30,34%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,2ND,0,7,1,22,57,87,30,34%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,3RD,2,3,0,24,59,88,29,33%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,4TH,0,4,2,17,64,87,23,26%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,5TH,1,8,0,23,54,86,32,37%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,6TH,1,5,3,19,59,87,28,32%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,7TH,0,8,5,27,73,113,40,35%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,8TH,0,4,3,32,74,113,39,35%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,9TH,1,5,6,32,80,124,44,35%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,10TH,0,7,3,22,65,97,32,33%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,11TH,0,4,2,17,72,95,23,24%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,12TH,0,2,3,18,56,79,23,29%
0020,ADAMS 12 FIVE STAR SCHOOLS,0015,ACADEMY OF CHARTER SCHOOLS,SCHOOL TOTAL,5,64,30,291,831,1221,390,32%
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,6TH,1,29,6,45,299,380,81,21%
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,7TH,1,20,6,75,253,355,102,29%
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,8TH,2,21,5,60,274,362,88,24%
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,SCHOOL TOTAL,4,70,17,180,826,1097,271,25%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,HALF DAY K,0,2,0,3,43,48,5,10%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,KINDERGARTEN,0,4,1,5,38,48,10,21%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,1ST,1,11,1,7,78,98,20,20%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,2ND,0,6,1,6,102,115,13,11%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,3RD,0,8,1,6,94,109,15,14%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,4TH,0,9,3,9,88,109,21,19%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,5TH,0,5,1,7,100,113,13,12%
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,SCHOOL TOTAL,1,45,8,43,543,640,97,15%
0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,PK,4,59,37,243,415,758,343,45%
0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,SCHOOL TOTAL,4,59,37,243,415,758,343,45%
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,9TH,0,1,2,11,25,39,14,36%
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,10TH,0,1,4,34,35,74,39,53%
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,11TH,0,1,1,40,70,112,42,38%
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,12TH,2,1,2,32,63,100,37,37%
0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,SCHOOL TOTAL,2,4,9,117,193,325,132,41%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,HALF DAY K,0,4,1,18,40,63,23,37%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,KINDERGARTEN,0,1,0,6,16,23,7,30%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,1ST,0,5,1,16,91,113,22,19%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,2ND,2,6,4,15,86,113,27,24%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,3RD,1,8,3,19,83,114,31,27%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,4TH,0,4,6,21,72,103,31,30%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,5TH,1,11,0,25,78,115,37,32%
0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,SCHOOL TOTAL,4,39,15,120,466,644,178,28%
0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,PK,0,0,0,2,19,21,2,10%
0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,SCHOOL TOTAL,0,0,0,2,19,21,2,10%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,HALF DAY K,0,2,1,24,26,53,27,51%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,KINDERGARTEN,0,2,0,1,16,19,3,16%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,1ST,0,2,0,37,51,90,39,43%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,2ND,0,4,1,28,47,80,33,41%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,3RD,1,6,2,25,44,78,34,44%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,4TH,0,4,1,28,58,91,33,36%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,5TH,0,2,1,24,59,86,27,31%
0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,SCHOOL TOTAL,1,22,6,167,301,497,196,39%
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,6TH,0,19,12,74,250,355,105,30%
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,7TH,3,15,10,55,267,350,83,24%
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,8TH,1,21,8,62,256,348,92,26%
0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,SCHOOL TOTAL,4,55,30,191,773,1053,280,27%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,HALF DAY K,0,2,0,0,2,4,2,50%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,KINDERGARTEN,0,16,1,1,43,61,18,30%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,1ST,0,17,0,7,50,74,24,32%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,2ND,0,17,1,5,47,70,23,33%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,3RD,0,11,0,8,54,73,19,26%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,4TH,0,9,1,3,58,71,13,18%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,5TH,0,15,2,5,57,79,22,28%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,6TH,0,11,2,7,50,70,20,29%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,7TH,0,11,0,5,55,71,16,23%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,8TH,0,10,2,3,42,57,15,26%
0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,SCHOOL TOTAL,0,119,9,44,458,630,172,27%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),HALF DAY K,3,10,13,28,272,326,54,17%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),1ST,2,11,12,26,285,336,51,15%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),2ND,3,6,8,37,277,331,54,16%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),3RD,4,9,7,34,305,359,54,15%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),4TH,7,9,15,27,324,382,58,15%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),5TH,7,7,5,34,355,408,53,13%
0020,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),6TH,7,4,12,45,359,427,68,16%
